x	y
30088.00195	28360.52344
30088.20898	28524.42188
30088.93945	28725.34766
30089.26367	28157.54102
30089.70313	28737.77148
30090.40625	29881.65625
30092.00781	29110.95703
30092.18555	28786.21875
30092.39258	28900.78125
30092.80664	29749.15625
30093.14844	28157.26953
30093.52539	28553.86328
30093.61914	28100.14844
30094.10742	29166.25781
30094.1543	28573.19922
30094.30664	29728.65625
30094.70703	29252.75781
30095.70313	28915.72461
30096.51563	28728.52734
30098.20508	29219.78125
30099.44336	28311.35352
30100.86523	28206.17773
30101.08789	28572.99609
30101.52734	29349.2832
30101.80664	29155.55664
30102.30664	29299.25781
30103.04688	28797.26172
30103.09961	28538.13672
30103.51367	29394.41992
30103.64453	28597.15625
30103.74609	28156.22852
30104.60742	29721.15625
30104.71484	28017.88281
30105.50781	29748.05664
30105.9707	29624.25195
30106.50781	29149.65625
30106.51953	28564.01367
30107.35156	29106.05859
30107.50195	29328.17773
30108.20703	29730.65625
30108.28516	28859.96094
30108.56055	29817.5957
30109.05273	28143.89844
30109.14258	29286.24805
30109.47852	29993.01953
30110.10938	28285.34961
30110.19531	29316.72656
30111.63867	29071.8418
30112.60742	29189.75781
30116.10742	29166.35742
30116.16016	29133.05469
30116.23047	29212.88477
30116.60742	29530.75781
30116.69922	28145.02734
30116.89844	29132.03516
30117.50977	29042.29688
30118.57227	29053.0918
30119.60742	29177.15625
30119.88477	29341.42969
30120.90625	29651.65625
30121.60742	29197.15625
30121.68555	28322.14453
30121.90625	29668.95703
30123.34375	29158.33984
30123.83008	29185.0625
30123.90234	28591.71484
30124.05469	29124.68359
30124.60742	29669.15625
30124.83203	29430.79102
30125.11523	28427.53711
30125.13867	29174.66992
30126.42773	29216.04297
30126.91211	29755.61328
30127.34961	29142.11133
30128.43164	29473.02539
30128.65625	29343.94727
30128.73633	28544.45898
30128.96875	28977.74219
30129.77734	29128.26758
30132.92773	28830.82422
30133.20703	28148.52344
30133.24609	29795.58008
30134.41992	28631.69922
30134.57227	29121.39648
30134.83203	29195.12695
30134.83789	29274.21484
30134.89063	29377.59766
30137.20703	29190.51563
30137.44141	29515.73438
30137.60742	29200.25781
30137.83203	29180.40625
30138.13672	28460.77539
30139.26563	29106.82617
30139.67383	29449.41602
30140.0332	29211.39844
30140.05664	28542.17773
30141.10938	28741.55078
30141.20313	29313.18555
30141.41797	28732.125
30141.44531	29982.08203
30142.10742	29209.55664
30142.21484	29467.21484
30143.08008	29710.75
30143.16406	29195.79688
30143.27539	28312.96484
30144.64258	29221.88281
30144.83594	28246.75586
30145.66211	29027.83984
30145.98828	29488.96484
30147.5332	28747.02344
30148.02539	28275.49219
30148.11328	28971.30469
30148.19141	28405.88672
30148.22461	28455.54102
30148.73047	28288.62109
30149.24414	28581.25977
30150.04883	29274.75781
30150.51563	29290.84766
30151.48438	28420.93164
30151.61328	28292.87695
30151.76367	29247.69922
30151.78906	29422.58008
30152.47852	28805.32813
30153.06836	29830.25
30153.49219	28312.37109
30153.50781	28694.05664
30153.94531	28953.91211
30154.37891	28735.79492
30155.41211	28508.34375
30156.56836	29011.50781
30157.71875	29354.91406
30159.63281	29201.94922
30160.2207	28456.97656
30160.58594	28222.22656
30161.21094	28056.98438
30161.99219	28791.7832
30162.36523	28475.84766
30163.09961	28472.07031
30163.49805	28540.95313
30163.50781	29335.85742
30164.17969	28381.25391
30165.23242	28279.89844
30166.36719	29776.77148
30167.50781	29467.05664
30168.00781	29217.25781
30169.28906	28262.29492
30169.72852	28736.73633
30169.82813	28252.54297
30170.64844	28810.54102
30171.20508	28232.17188
30171.45898	28663.92383
30171.54102	29425.9082
30171.77344	28253.05078
30172.03711	28246.43359
30172.38867	29238.10742
30173.24609	28684.6543
30173.87695	28414.875
30174.06641	29755.49414
30174.64453	29292.6582
30174.71094	28797.60352
30176.11719	28739.41797
30176.37695	28516.70703
30177.72461	29319.38477
30177.93945	28300.51172
30178.01953	28553.70117
30178.31641	28815.4375
30178.64648	29079.7168
30180	28287.85547
30181.61133	28927.30859
30182.30859	28819.40039
30182.65625	28338.48242
30183.16992	28477.54102
30184.48633	28420.20898
30184.67188	28488.12695
30185.98242	29180.03125
30186.11523	28201.3457
30186.47656	28305.07813
30186.75391	29034.88672
30186.78516	28725.76563
30188.07813	28514.19727
30188.76172	29133.84766
30189.08008	28471.3125
30189.97852	29084.54688
30190.95703	28520.56836
30192.64063	28757.39063
30193.2832	28510.86719
30193.28906	28170.13281
30194.05273	28770.28125
30195.24023	29198.45117
30195.26953	29195.43359
30196.71289	28310.91016
30197.23633	29165.28711
30197.73242	28779.89063
30197.84961	29215.11328
30198.43945	29188.79297
30198.63281	29979.77344
30198.69141	29215.81836
30198.81055	28356.30078
30199.34961	29190.36719
30199.43945	29219.82227
30200.03711	29125.98633
30200.35938	28298.63672
30200.62695	28725.90625
30201.19531	29233.5957
30201.19531	29248.85352
30201.4375	29210.56445
30201.71094	28288.88672
30201.96289	29258.32031
30202.14648	29129.75977
30202.5293	29023.40039
30203.31445	29089.27344
30203.76172	29058.63086
30204.66797	29184.82031
30205.27734	29350.89453
30206.91016	28818.6543
30208.10742	29315.65625
30208.18359	28469.13086
30208.7793	28289.33398
30209.34375	29265.41016
30209.40039	29253.55469
30209.51953	29087.19531
30209.62109	29428.22852
30210.54492	28303.94531
30211.87305	29446.35547
30212.00195	29202.50391
30212.13477	28127.19336
30212.83789	29030.86523
30213.00977	28264.00391
30213.06055	29036.47656
30213.22461	28990.61328
30213.36914	28834.04883
30213.52734	29025.03125
30213.78906	28812.58203
30213.99805	29035.65039
30214.00195	29234.25977
30214.81055	28363.65234
30214.98242	28518.24805
30216.93555	28756.07617
30216.9668	29129.74219
30219.83984	28250.66797
30220.74414	29016.55469
30221.14648	29284.39844
30222.72656	28277.5957
30223.86133	29204.90625
30223.92188	29236.80078
30225.2793	29066.625
30225.4375	28105.56445
30225.57227	29120.31055
30226.51758	29279.0293
30226.67773	29122.7793
30226.70313	29160.20313
30226.9082	29079.02148
30227.73828	29036.9043
30227.80859	28380.22656
30227.98438	29094.25781
30228.43164	29202.28711
30228.50195	28264.06445
30229.33984	29255.20703
30229.9082	29210.57617
30229.9707	29254.4375
30230.31641	28317.73438
30230.78516	29209.24023
30231.41602	28264.0332
30231.81836	29106.36914
30233.27148	29180.25781
30233.96094	29084.35156
30234.24805	28254.60938
30234.62305	29159.10547
30234.70703	29567.95703
30235.40625	29198.35742
30235.79883	29235.52344
30235.98242	29042.81445
30236.00781	29239.75781
30236.10938	29989.87109
30237.00391	28255.09766
30237.05273	29199.09375
30238.19336	29202.90039
30238.49805	29145.82617
30238.58008	28655.75977
30238.58398	29151.89063
30239.0293	29224.12305
30239.42578	28171.96289
30239.46289	29036.9707
30239.72656	29044.74414
30239.77148	29266.99805
30239.86523	29119.22656
30240.33789	29146.20703
30240.49023	28396.41406
30240.5625	28294.14063
30241.70703	29226.91602
30241.85156	29246.70898
30242.12695	28266.32422
30242.64453	29107.79102
30242.66406	29177.50586
30242.70117	29311.33789
30242.84766	28370.21289
30243.20703	28867.15625
30243.25391	29158.57031
30243.69922	29225.53125
30243.82617	29214.65234
30244.42969	28348.68555
30245.19531	28837.91602
30245.60938	29269.91406
30246.02344	29312.25977
30246.29102	28272.86719
30246.39648	29226.42773
30246.67188	29689.0293
30247.08008	29675.41992
30247.16211	29121.4375
30247.16406	28277.81445
30247.20703	29438.85742
30247.84961	28995.36719
30248.11914	29133.17969
30248.51953	29110.62891
30248.57422	28352.06055
30248.76953	29057.60547
30249.20703	28924.55664
30249.50781	29234.25781
30249.5332	29193.01563
30250.07227	29367.45703
30250.31055	28266.61523
30250.38672	28215.16406
30250.58203	28248.97656
30251.04688	29184.10156
30251.47266	28361.1582
30251.57031	29098.29102
30251.78516	29243.89844
30251.83594	28270.4668
30252.23242	28245.86523
30254.04883	29104.45117
30254.71094	29228.98633
30255.06836	28374.61133
30255.85352	28268.8457
30255.89063	29137.14844
30256.0332	29366.78516
30256.19922	28322.82422
30256.30664	28912.85742
30256.89648	28509.72266
30257.28516	29172.53906
30257.3418	29224.57813
30257.35547	29202.61719
30257.88867	28274.04102
30259.36523	29660.73828
30259.57227	28262.55078
30259.60742	28260.20703
30259.83594	28294.2832
30259.94727	29225.72656
30260.60742	29176.75781
30260.64844	28230.3418
30260.80273	28257.9375
30260.99805	29319.58008
30261.21875	29124.43359
30261.65625	28269.67773
30262.22266	28314.71289
30262.44336	28340.55078
